time,xposition,yposition,framenumber
32.132,216.0,403.0,762.0
32.172,217.0,404.0,763.0
32.212,219.0,402.0,764.0
32.252,220.0,401.0,765.0
32.295,221.0,400.0,766.0
32.332,221.0,400.0,767.0
32.374,222.0,399.0,768.0
32.41,222.0,398.0,769.0
32.453,222.0,398.0,770.0
32.49,222.0,398.0,771.0
32.53,222.0,398.0,772.0
32.57,222.0,398.0,773.0
32.612,223.0,398.0,774.0
32.652,223.0,398.0,775.0
32.69,223.0,398.0,776.0
32.73,223.0,398.0,777.0
32.772,223.0,397.0,778.0
32.81,224.0,397.0,779.0
32.853,224.0,398.0,780.0
32.893,224.0,398.0,781.0
32.933,224.0,398.0,782.0
32.973,224.0,398.0,783.0
33.013,224.0,398.0,784.0
33.053,224.0,398.0,785.0
33.093,224.0,398.0,786.0
33.132,224.0,398.0,787.0
33.172,224.0,398.0,788.0
33.212,224.0,398.0,789.0
33.252,224.0,398.0,790.0
33.293,224.0,398.0,791.0
33.331,224.0,398.0,792.0
33.373,224.0,398.0,793.0
33.413,223.0,399.0,794.0
33.452,222.0,401.0,795.0
33.493,219.0,405.0,796.0
33.532,214.0,411.0,797.0
33.573,207.0,417.0,798.0
33.613,197.0,422.0,799.0
33.653,190.0,424.0,800.0
33.693,184.0,425.0,801.0
33.734,178.0,425.0,802.0
33.773,173.0,425.0,803.0
33.815,169.0,425.0,804.0
33.853,163.0,424.0,805.0
33.893,161.0,424.0,806.0
33.932,162.0,424.0,807.0
33.973,162.0,425.0,808.0
34.013,164.0,425.0,809.0
34.052,165.0,425.0,810.0
34.094,166.0,425.0,811.0
34.133,165.0,425.0,812.0
34.174,165.0,426.0,813.0
34.214,165.0,426.0,814.0
34.251,165.0,425.0,815.0
34.295,165.0,425.0,816.0
34.333,164.0,425.0,817.0
34.374,164.0,425.0,818.0
34.414,164.0,425.0,819.0
34.454,163.0,425.0,820.0
34.493,159.0,424.0,821.0
34.533,150.0,423.0,822.0
34.574,143.0,423.0,823.0
34.613,138.0,424.0,824.0
34.653,131.0,423.0,825.0
34.694,125.0,422.0,826.0
34.733,122.0,421.0,827.0
34.775,121.0,422.0,828.0
34.814,119.0,422.0,829.0
34.853,115.0,421.0,830.0
34.892,103.0,406.0,831.0
34.934,98.0,393.0,832.0
34.973,98.0,392.0,833.0
35.014,98.0,393.0,834.0
35.051,98.0,393.0,835.0
35.094,99.0,391.0,836.0
35.132,100.0,390.0,837.0
35.174,100.0,389.0,838.0
35.214,100.0,389.0,839.0
35.256,100.0,389.0,840.0
35.295,101.0,389.0,841.0
35.333,101.0,389.0,842.0
35.374,101.0,389.0,843.0
35.414,100.0,389.0,844.0
35.454,100.0,388.0,845.0
35.494,100.0,388.0,846.0
35.534,100.0,388.0,847.0
35.574,100.0,388.0,848.0
35.614,100.0,388.0,849.0
35.654,100.0,387.0,850.0
35.694,100.0,386.0,851.0
35.736,101.0,383.0,852.0
35.775,101.0,376.0,853.0
35.815,100.0,367.0,854.0
35.853,98.0,361.0,855.0
35.896,98.0,355.0,856.0
35.934,99.0,347.0,857.0
35.975,100.0,341.0,858.0
36.015,102.0,335.0,859.0
36.055,111.0,330.0,860.0
36.095,120.0,328.0,861.0
36.135,125.0,327.0,862.0
36.175,127.0,327.0,863.0
36.217,128.0,327.0,864.0
36.255,130.0,326.0,865.0
36.292,131.0,326.0,866.0
36.335,131.0,327.0,867.0
36.374,131.0,328.0,868.0
